




Analysis Type:	PANTHER Overrepresentation Test (Released 20221013)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.6799722 Released 2022-07-01
Analyzed List:	Crl02vSal02_NegFC_DEGs.txt (Sus scrofa)
Reference List:	FS27_BackgroundGenes.txt (Sus scrofa)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	FS27_BackgroundGenes.txt - REFLIST (12250)	Crl02vSal02_NegFC_DEGs.txt (152)	Crl02vSal02_NegFC_DEGs.txt (expected)	Crl02vSal02_NegFC_DEGs.txt (over/under)	Crl02vSal02_NegFC_DEGs.txt (fold Enrichment)	Crl02vSal02_NegFC_DEGs.txt (raw P-value)	Crl02vSal02_NegFC_DEGs.txt (FDR)
outer ear morphogenesis (GO:0042473)	1	1	.01	+	80.59	2.44E-02	1.00E00
brain segmentation (GO:0035284)	1	1	.01	+	80.59	2.44E-02	1.00E00
central nervous system segmentation (GO:0035283)	1	1	.01	+	80.59	2.44E-02	1.00E00
post-embryonic forelimb morphogenesis (GO:0035128)	1	1	.01	+	80.59	2.44E-02	1.00E00
post-embryonic limb morphogenesis (GO:0035127)	1	1	.01	+	80.59	2.44E-02	1.00E00
post-embryonic appendage morphogenesis (GO:0035120)	1	1	.01	+	80.59	2.44E-02	1.00E00
regulation of mesonephros development (GO:0061217)	1	1	.01	+	80.59	2.44E-02	1.00E00
trachea gland development (GO:0061153)	1	1	.01	+	80.59	2.44E-02	1.00E00
trachea submucosa development (GO:0061152)	1	1	.01	+	80.59	2.44E-02	1.00E00
response to disaccharide (GO:0034285)	1	1	.01	+	80.59	2.44E-02	1.00E00
pantothenate metabolic process (GO:0015939)	3	2	.04	+	53.73	1.46E-03	6.20E-01
negative regulation of glycogen biosynthetic process (GO:0045719)	2	1	.02	+	40.30	3.63E-02	1.00E00
pro-T cell differentiation (GO:0002572)	2	1	.02	+	40.30	3.63E-02	1.00E00
somatic diversification of T cell receptor genes (GO:0002568)	4	2	.05	+	40.30	2.17E-03	8.42E-01
negative regulation of mammary gland epithelial cell proliferation (GO:0033600)	2	1	.02	+	40.30	3.63E-02	1.00E00
negative regulation of apoptotic process in bone marrow cell (GO:0071866)	2	1	.02	+	40.30	3.63E-02	1.00E00
regulation of apoptotic process in bone marrow cell (GO:0071865)	2	1	.02	+	40.30	3.63E-02	1.00E00
positive regulation of cell proliferation in bone marrow (GO:0071864)	2	1	.02	+	40.30	3.63E-02	1.00E00
myeloid dendritic cell chemotaxis (GO:0002408)	2	1	.02	+	40.30	3.63E-02	1.00E00
rhombomere 3 development (GO:0021569)	2	1	.02	+	40.30	3.63E-02	1.00E00
rhombomere development (GO:0021546)	2	1	.02	+	40.30	3.63E-02	1.00E00
negative regulation of receptor recycling (GO:0001920)	2	1	.02	+	40.30	3.63E-02	1.00E00
cell-cell signaling involved in metanephros development (GO:0072204)	2	1	.02	+	40.30	3.63E-02	1.00E00
nephric duct formation (GO:0072179)	2	1	.02	+	40.30	3.63E-02	1.00E00
mesonephric tubule formation (GO:0072172)	2	1	.02	+	40.30	3.63E-02	1.00E00
mitotic centrosome separation (GO:0007100)	4	2	.05	+	40.30	2.17E-03	8.18E-01
positive regulation of endothelial cell chemotaxis to fibroblast growth factor (GO:2000546)	2	1	.02	+	40.30	3.63E-02	1.00E00
regulation of endothelial cell chemotaxis to fibroblast growth factor (GO:2000544)	2	1	.02	+	40.30	3.63E-02	1.00E00
positive regulation of T cell costimulation (GO:2000525)	2	1	.02	+	40.30	3.63E-02	1.00E00
regulation of T cell costimulation (GO:2000523)	2	1	.02	+	40.30	3.63E-02	1.00E00
positive regulation of immunological synapse formation (GO:2000522)	2	1	.02	+	40.30	3.63E-02	1.00E00
parathyroid gland development (GO:0060017)	2	1	.02	+	40.30	3.63E-02	1.00E00
chemokine (C-C motif) ligand 21 signaling pathway (GO:0038116)	2	1	.02	+	40.30	3.63E-02	1.00E00
negative regulation of amino acid transport (GO:0051956)	2	1	.02	+	40.30	3.63E-02	1.00E00
positive regulation of macrophage migration inhibitory factor signaling pathway (GO:2000448)	2	1	.02	+	40.30	3.63E-02	1.00E00
positive regulation of histone H3-K14 acetylation (GO:0071442)	2	1	.02	+	40.30	3.63E-02	1.00E00
T cell receptor V(D)J recombination (GO:0033153)	4	2	.05	+	40.30	2.17E-03	7.95E-01
negative regulation of glycogen metabolic process (GO:0070874)	2	1	.02	+	40.30	3.63E-02	1.00E00
regulation of glutamate metabolic process (GO:2000211)	2	1	.02	+	40.30	3.63E-02	1.00E00
negative regulation of DNA demethylation (GO:1901536)	2	1	.02	+	40.30	3.63E-02	1.00E00
calcitonin gene-related peptide receptor signaling pathway (GO:1990408)	2	1	.02	+	40.30	3.63E-02	1.00E00
neuron death in response to oxidative stress (GO:0036475)	2	1	.02	+	40.30	3.63E-02	1.00E00
negative regulation of phosphatidylinositol 3-kinase activity (GO:0043553)	2	1	.02	+	40.30	3.63E-02	1.00E00
negative regulation of maintenance of mitotic sister chromatid cohesion, telomeric (GO:1904908)	2	1	.02	+	40.30	3.63E-02	1.00E00
regulation of maintenance of mitotic sister chromatid cohesion, telomeric (GO:1904907)	2	1	.02	+	40.30	3.63E-02	1.00E00
parathyroid hormone secretion (GO:0035898)	2	1	.02	+	40.30	3.63E-02	1.00E00
positive regulation of cell chemotaxis to fibroblast growth factor (GO:1904849)	2	1	.02	+	40.30	3.63E-02	1.00E00
regulation of cell chemotaxis to fibroblast growth factor (GO:1904847)	2	1	.02	+	40.30	3.63E-02	1.00E00
dendritic cell homeostasis (GO:0036145)	2	1	.02	+	40.30	3.63E-02	1.00E00
negative regulation of transcription by RNA polymerase III (GO:0016480)	2	1	.02	+	40.30	3.63E-02	1.00E00
cellular response to 2,3,7,8-tetrachlorodibenzodioxine (GO:1904613)	2	1	.02	+	40.30	3.63E-02	1.00E00
response to 2,3,7,8-tetrachlorodibenzodioxine (GO:1904612)	2	1	.02	+	40.30	3.63E-02	1.00E00
sequestering of triglyceride (GO:0030730)	2	1	.02	+	40.30	3.63E-02	1.00E00
cellular phosphate ion homeostasis (GO:0030643)	4	2	.05	+	40.30	2.17E-03	7.73E-01
O-glycan processing, core 1 (GO:0016267)	2	1	.02	+	40.30	3.63E-02	1.00E00
inorganic diphosphate transport (GO:0030505)	2	1	.02	+	40.30	3.63E-02	1.00E00
cellular response to phosphate starvation (GO:0016036)	2	1	.02	+	40.30	3.63E-02	1.00E00
regulation of glutathione biosynthetic process (GO:1903786)	2	1	.02	+	40.30	3.63E-02	1.00E00
cell-cell signaling involved in kidney development (GO:0060995)	2	1	.02	+	40.30	3.63E-02	1.00E00
canonical Wnt signaling pathway involved in metanephric kidney development (GO:0061290)	2	1	.02	+	40.30	3.63E-02	1.00E00
Wnt signaling pathway involved in kidney development (GO:0061289)	2	1	.02	+	40.30	3.63E-02	1.00E00
positive regulation of hypersensitivity (GO:0002885)	2	1	.02	+	40.30	3.63E-02	1.00E00
negative regulation of T cell mediated immune response to tumor cell (GO:0002841)	2	1	.02	+	40.30	3.63E-02	1.00E00
formation of radial glial scaffolds (GO:0021943)	2	1	.02	+	40.30	3.63E-02	1.00E00
ureteric bud formation (GO:0060676)	2	1	.02	+	40.30	3.63E-02	1.00E00
forebrain neuroblast division (GO:0021873)	2	1	.02	+	40.30	3.63E-02	1.00E00
cellular trivalent inorganic anion homeostasis (GO:0072502)	4	2	.05	+	40.30	2.17E-03	7.53E-01
somatic recombination of T cell receptor gene segments (GO:0002681)	4	2	.05	+	40.30	2.17E-03	7.34E-01
positive regulation of interleukin-13 production (GO:0032736)	5	2	.06	+	32.24	3.01E-03	8.28E-01
L-glutamate import across plasma membrane (GO:0098712)	5	2	.06	+	32.24	3.01E-03	8.11E-01
regulation of interleukin-13 production (GO:0032656)	8	3	.10	+	30.22	2.77E-04	1.74E-01
positive regulation of dendritic cell antigen processing and presentation (GO:0002606)	3	1	.04	+	26.86	4.81E-02	1.00E00
negative regulation of maintenance of mitotic sister chromatid cohesion (GO:0034183)	3	1	.04	+	26.86	4.81E-02	1.00E00
positive regulation of chondrocyte proliferation (GO:1902732)	3	1	.04	+	26.86	4.81E-02	1.00E00
dTTP metabolic process (GO:0046075)	3	1	.04	+	26.86	4.81E-02	1.00E00
negative regulation of maintenance of sister chromatid cohesion (GO:0034092)	3	1	.04	+	26.86	4.81E-02	1.00E00
positive regulation of interferon-gamma-mediated signaling pathway (GO:0060335)	3	1	.04	+	26.86	4.81E-02	1.00E00
positive regulation of response to interferon-gamma (GO:0060332)	3	1	.04	+	26.86	4.81E-02	1.00E00
regulation of cell proliferation in bone marrow (GO:0071863)	3	1	.04	+	26.86	4.81E-02	1.00E00
mesenchymal to epithelial transition (GO:0060231)	3	1	.04	+	26.86	4.81E-02	1.00E00
CXCL12-activated CXCR4 signaling pathway (GO:0038160)	3	1	.04	+	26.86	4.81E-02	1.00E00
regulation of immunological synapse formation (GO:2000520)	3	1	.04	+	26.86	4.81E-02	1.00E00
vascular associated smooth muscle cell proliferation (GO:1990874)	3	1	.04	+	26.86	4.81E-02	1.00E00
regulation of macrophage migration inhibitory factor signaling pathway (GO:2000446)	3	1	.04	+	26.86	4.81E-02	1.00E00
apoptotic process involved in blood vessel morphogenesis (GO:1902262)	3	1	.04	+	26.86	4.81E-02	1.00E00
negative regulation of interleukin-5 production (GO:0032714)	3	1	.04	+	26.86	4.81E-02	1.00E00
protein C-linked glycosylation via 2'-alpha-mannosyl-L-tryptophan (GO:0018406)	3	1	.04	+	26.86	4.81E-02	1.00E00
regulation of L-glutamate import across plasma membrane (GO:0002036)	3	1	.04	+	26.86	4.81E-02	1.00E00
negative regulation of cell proliferation involved in kidney development (GO:1901723)	3	1	.04	+	26.86	4.81E-02	1.00E00
negative regulation of interleukin-13 production (GO:0032696)	3	1	.04	+	26.86	4.81E-02	1.00E00
protein C-linked glycosylation via tryptophan (GO:0018317)	3	1	.04	+	26.86	4.81E-02	1.00E00
negative regulation of lymphocyte chemotaxis (GO:1901624)	3	1	.04	+	26.86	4.81E-02	1.00E00
glutamate homeostasis (GO:0090461)	3	1	.04	+	26.86	4.81E-02	1.00E00
leading strand elongation (GO:0006272)	3	1	.04	+	26.86	4.81E-02	1.00E00
peptidyl-tryptophan modification (GO:0018211)	3	1	.04	+	26.86	4.81E-02	1.00E00
dTTP biosynthetic process (GO:0006235)	3	1	.04	+	26.86	4.81E-02	1.00E00
dTMP biosynthetic process (GO:0006231)	3	1	.04	+	26.86	4.81E-02	1.00E00
protein C-linked glycosylation (GO:0018103)	3	1	.04	+	26.86	4.81E-02	1.00E00
centrosome separation (GO:0051299)	6	2	.07	+	26.86	3.98E-03	9.38E-01
protein localization to site of double-strand break (GO:1990166)	3	1	.04	+	26.86	4.81E-02	1.00E00
interneuron migration (GO:1904936)	3	1	.04	+	26.86	4.81E-02	1.00E00
positive regulation of epithelial tube formation (GO:1905278)	3	1	.04	+	26.86	4.81E-02	1.00E00
regulation of epithelial tube formation (GO:1905276)	3	1	.04	+	26.86	4.81E-02	1.00E00
pyruvate biosynthetic process (GO:0042866)	3	1	.04	+	26.86	4.81E-02	1.00E00
pyrimidine deoxyribonucleoside triphosphate biosynthetic process (GO:0009212)	3	1	.04	+	26.86	4.81E-02	1.00E00
tripeptide transmembrane transport (GO:0035443)	3	1	.04	+	26.86	4.81E-02	1.00E00
pyrimidine deoxyribonucleoside monophosphate biosynthetic process (GO:0009177)	3	1	.04	+	26.86	4.81E-02	1.00E00
negative regulation of mitochondrial membrane potential (GO:0010917)	3	1	.04	+	26.86	4.81E-02	1.00E00
isoleucine biosynthetic process (GO:0009097)	3	1	.04	+	26.86	4.81E-02	1.00E00
prostaglandin transport (GO:0015732)	3	1	.04	+	26.86	4.81E-02	1.00E00
norepinephrine biosynthetic process (GO:0042421)	3	1	.04	+	26.86	4.81E-02	1.00E00
glutathione transmembrane transport (GO:0034775)	3	1	.04	+	26.86	4.81E-02	1.00E00
T follicular helper cell differentiation (GO:0061470)	3	1	.04	+	26.86	4.81E-02	1.00E00
chorio-allantoic fusion (GO:0060710)	3	1	.04	+	26.86	4.81E-02	1.00E00
positive regulation of acute inflammatory response to antigenic stimulus (GO:0002866)	3	1	.04	+	26.86	4.81E-02	1.00E00
negative regulation of immune response to tumor cell (GO:0002838)	3	1	.04	+	26.86	4.81E-02	1.00E00
negative regulation of response to tumor cell (GO:0002835)	3	1	.04	+	26.86	4.81E-02	1.00E00
histone H3-K56 acetylation (GO:0097043)	3	1	.04	+	26.86	4.81E-02	1.00E00
mature conventional dendritic cell differentiation (GO:0097029)	3	1	.04	+	26.86	4.81E-02	1.00E00
negative regulation of striated muscle tissue development (GO:0045843)	3	1	.04	+	26.86	4.81E-02	1.00E00
forebrain radial glial cell differentiation (GO:0021861)	3	1	.04	+	26.86	4.81E-02	1.00E00
regulation of maintenance of mitotic sister chromatid cohesion (GO:0034182)	7	2	.09	+	23.03	5.08E-03	1.00E00
regulation of maintenance of sister chromatid cohesion (GO:0034091)	7	2	.09	+	23.03	5.08E-03	1.00E00
dendritic cell chemotaxis (GO:0002407)	7	2	.09	+	23.03	5.08E-03	1.00E00
N-terminal peptidyl-methionine acetylation (GO:0017196)	7	2	.09	+	23.03	5.08E-03	1.00E00
negative T cell selection (GO:0043383)	7	2	.09	+	23.03	5.08E-03	1.00E00
phosphate ion homeostasis (GO:0055062)	7	2	.09	+	23.03	5.08E-03	1.00E00
trivalent inorganic anion homeostasis (GO:0072506)	7	2	.09	+	23.03	5.08E-03	1.00E00
thymic T cell selection (GO:0045061)	12	3	.15	+	20.15	7.37E-04	3.89E-01
positive regulation of blood pressure (GO:0045777)	4	1	.05	+	20.15	5.98E-02	1.00E00
positive regulation of maintenance of mitotic sister chromatid cohesion (GO:0034184)	4	1	.05	+	20.15	5.98E-02	1.00E00
dTMP metabolic process (GO:0046073)	4	1	.05	+	20.15	5.98E-02	1.00E00
positive regulation of maintenance of sister chromatid cohesion (GO:0034093)	4	1	.05	+	20.15	5.98E-02	1.00E00
dentate gyrus development (GO:0021542)	4	1	.05	+	20.15	5.98E-02	1.00E00
tachykinin receptor signaling pathway (GO:0007217)	4	1	.05	+	20.15	5.98E-02	1.00E00
positive regulation of respiratory burst (GO:0060267)	4	1	.05	+	20.15	5.98E-02	1.00E00
C-X-C chemokine receptor CXCR4 signaling pathway (GO:0038159)	4	1	.05	+	20.15	5.98E-02	1.00E00
Sertoli cell development (GO:0060009)	4	1	.05	+	20.15	5.98E-02	1.00E00
otic vesicle development (GO:0071599)	4	1	.05	+	20.15	5.98E-02	1.00E00
threonine catabolic process (GO:0006567)	4	1	.05	+	20.15	5.98E-02	1.00E00
L-serine catabolic process (GO:0006565)	4	1	.05	+	20.15	5.98E-02	1.00E00
negative regulation of amine transport (GO:0051953)	4	1	.05	+	20.15	5.98E-02	1.00E00
negative regulation of interleukin-4 production (GO:0032713)	4	1	.05	+	20.15	5.98E-02	1.00E00
negative regulation of phosphatidylinositol 3-kinase signaling (GO:0014067)	4	1	.05	+	20.15	5.98E-02	1.00E00
regulation of histone H3-K14 acetylation (GO:0071440)	4	1	.05	+	20.15	5.98E-02	1.00E00
T-helper 2 cell differentiation (GO:0045064)	4	1	.05	+	20.15	5.98E-02	1.00E00
regulation of neutrophil apoptotic process (GO:0033029)	4	1	.05	+	20.15	5.98E-02	1.00E00
dipeptide import across plasma membrane (GO:0140206)	4	1	.05	+	20.15	5.98E-02	1.00E00
oligopeptide import across plasma membrane (GO:0140205)	4	1	.05	+	20.15	5.98E-02	1.00E00
adrenomedullin receptor signaling pathway (GO:1990410)	4	1	.05	+	20.15	5.98E-02	1.00E00
negative regulation of lipid kinase activity (GO:0090219)	4	1	.05	+	20.15	5.98E-02	1.00E00
positive regulation of cell-cell adhesion mediated by cadherin (GO:2000049)	4	1	.05	+	20.15	5.98E-02	1.00E00
negative regulation of DNA damage checkpoint (GO:2000002)	4	1	.05	+	20.15	5.98E-02	1.00E00
smooth muscle cell proliferation (GO:0048659)	4	1	.05	+	20.15	5.98E-02	1.00E00
negative regulation of muscle organ development (GO:0048635)	4	1	.05	+	20.15	5.98E-02	1.00E00
tetrahydrofolate interconversion (GO:0035999)	8	2	.10	+	20.15	6.30E-03	1.00E00
paraxial mesoderm morphogenesis (GO:0048340)	4	1	.05	+	20.15	5.98E-02	1.00E00
macrophage chemotaxis (GO:0048246)	4	1	.05	+	20.15	5.98E-02	1.00E00
mitochondrial translational elongation (GO:0070125)	4	1	.05	+	20.15	5.98E-02	1.00E00
dipeptide transport (GO:0042938)	4	1	.05	+	20.15	5.98E-02	1.00E00
negative regulation of chemokine-mediated signaling pathway (GO:0070100)	4	1	.05	+	20.15	5.98E-02	1.00E00
Tie signaling pathway (GO:0048014)	4	1	.05	+	20.15	5.98E-02	1.00E00
dipeptide transmembrane transport (GO:0035442)	4	1	.05	+	20.15	5.98E-02	1.00E00
norepinephrine metabolic process (GO:0042415)	4	1	.05	+	20.15	5.98E-02	1.00E00
cilium disassembly (GO:0061523)	4	1	.05	+	20.15	5.98E-02	1.00E00
neutrophil differentiation (GO:0030223)	4	1	.05	+	20.15	5.98E-02	1.00E00
regulation of hypersensitivity (GO:0002883)	4	1	.05	+	20.15	5.98E-02	1.00E00
hindbrain radial glia guided cell migration (GO:0021932)	4	1	.05	+	20.15	5.98E-02	1.00E00
positive regulation of myeloid dendritic cell cytokine production (GO:0002735)	4	1	.05	+	20.15	5.98E-02	1.00E00
regulation of myeloid dendritic cell cytokine production (GO:0002733)	4	1	.05	+	20.15	5.98E-02	1.00E00
negative regulation of sister chromatid cohesion (GO:0045875)	4	1	.05	+	20.15	5.98E-02	1.00E00
negative regulation of membrane potential (GO:0045837)	4	1	.05	+	20.15	5.98E-02	1.00E00
T-helper 17 cell lineage commitment (GO:0072540)	4	1	.05	+	20.15	5.98E-02	1.00E00
amino acid homeostasis (GO:0080144)	4	1	.05	+	20.15	5.98E-02	1.00E00
regulation of interleukin-5 production (GO:0032674)	9	2	.11	+	17.91	7.63E-03	1.00E00
regulation of interleukin-4 production (GO:0032673)	18	4	.22	+	17.91	1.34E-04	1.26E-01
peptidyl-methionine modification (GO:0018206)	9	2	.11	+	17.91	7.63E-03	1.00E00
G protein-coupled purinergic nucleotide receptor signaling pathway (GO:0035589)	9	2	.11	+	17.91	7.63E-03	1.00E00
cellular anion homeostasis (GO:0030002)	9	2	.11	+	17.91	7.63E-03	1.00E00
CD4-positive, alpha-beta T cell differentiation involved in immune response (GO:0002294)	23	5	.29	+	17.52	2.03E-05	1.34E-01
T-helper cell differentiation (GO:0042093)	23	5	.29	+	17.52	2.03E-05	8.92E-02
alpha-beta T cell differentiation involved in immune response (GO:0002293)	24	5	.30	+	16.79	2.42E-05	6.40E-02
T cell differentiation involved in immune response (GO:0002292)	24	5	.30	+	16.79	2.42E-05	5.34E-02
alpha-beta T cell activation involved in immune response (GO:0002287)	24	5	.30	+	16.79	2.42E-05	4.57E-02
regulation of dendritic cell antigen processing and presentation (GO:0002604)	5	1	.06	+	16.12	7.13E-02	1.00E00
positive regulation of antigen processing and presentation (GO:0002579)	5	1	.06	+	16.12	7.13E-02	1.00E00
purine ribonucleoside bisphosphate metabolic process (GO:0034035)	5	1	.06	+	16.12	7.13E-02	1.00E00
positive regulation of gamma-delta T cell differentiation (GO:0045588)	5	1	.06	+	16.12	7.13E-02	1.00E00
regulation of gamma-delta T cell differentiation (GO:0045586)	5	1	.06	+	16.12	7.13E-02	1.00E00
ureter morphogenesis (GO:0072197)	5	1	.06	+	16.12	7.13E-02	1.00E00
nephric duct morphogenesis (GO:0072178)	5	1	.06	+	16.12	7.13E-02	1.00E00
nephron tubule formation (GO:0072079)	5	1	.06	+	16.12	7.13E-02	1.00E00
negative regulation of organic acid transport (GO:0032891)	5	1	.06	+	16.12	7.13E-02	1.00E00
chemokine (C-X-C motif) ligand 12 signaling pathway (GO:0038146)	5	1	.06	+	16.12	7.13E-02	1.00E00
threonine metabolic process (GO:0006566)	5	1	.06	+	16.12	7.13E-02	1.00E00
positive regulation of interleukin-5 production (GO:0032754)	5	1	.06	+	16.12	7.13E-02	1.00E00
positive regulation of interleukin-4 production (GO:0032753)	15	3	.19	+	16.12	1.29E-03	5.66E-01
cellular response to purine-containing compound (GO:0071415)	5	1	.06	+	16.12	7.13E-02	1.00E00
regulation of cell proliferation involved in kidney development (GO:1901722)	5	1	.06	+	16.12	7.13E-02	1.00E00
cellular response to cholesterol (GO:0071397)	5	1	.06	+	16.12	7.13E-02	1.00E00
cellular response to interleukin-18 (GO:0071351)	5	1	.06	+	16.12	7.13E-02	1.00E00
response to redox state (GO:0051775)	5	1	.06	+	16.12	7.13E-02	1.00E00
T-helper 1 cell differentiation (GO:0045063)	10	2	.12	+	16.12	9.09E-03	1.00E00
positive regulation of T cell differentiation in thymus (GO:0033089)	5	1	.06	+	16.12	7.13E-02	1.00E00
positive regulation of chromosome condensation (GO:1905821)	5	1	.06	+	16.12	7.13E-02	1.00E00
positive regulation of hormone metabolic process (GO:0032352)	5	1	.06	+	16.12	7.13E-02	1.00E00
ribosome-associated ubiquitin-dependent protein catabolic process (GO:1990116)	5	1	.06	+	16.12	7.13E-02	1.00E00
tongue development (GO:0043586)	5	1	.06	+	16.12	7.13E-02	1.00E00
snoRNA localization (GO:0048254)	5	1	.06	+	16.12	7.13E-02	1.00E00
tripeptide transport (GO:0042939)	5	1	.06	+	16.12	7.13E-02	1.00E00
3'-phosphoadenosine 5'-phosphosulfate metabolic process (GO:0050427)	5	1	.06	+	16.12	7.13E-02	1.00E00
interleukin-18-mediated signaling pathway (GO:0035655)	5	1	.06	+	16.12	7.13E-02	1.00E00
sodium-independent organic anion transport (GO:0043252)	5	1	.06	+	16.12	7.13E-02	1.00E00
negative regulation of circadian rhythm (GO:0042754)	5	1	.06	+	16.12	7.13E-02	1.00E00
pyrimidine deoxyribonucleotide biosynthetic process (GO:0009221)	5	1	.06	+	16.12	7.13E-02	1.00E00
